Strategy,Year,Fuel,SpecifiedAnnualDemand
NDP,2036,Palm primary forest,0.1134
NDP,2037,Palm primary forest,0.1134
NDP,2038,Palm primary forest,0.1134
NDP,2039,Palm primary forest,0.1134
NDP,2040,Palm primary forest,0.1134
NDP,2041,Palm primary forest,0.1134
NDP,2042,Palm primary forest,0.1134
NDP,2043,Palm primary forest,0.1134
NDP,2044,Palm primary forest,0.1134
NDP,2045,Palm primary forest,0.1134
NDP,2046,Palm primary forest,0.1134
NDP,2047,Palm primary forest,0.1134
NDP,2048,Palm primary forest,0.1134
NDP,2049,Palm primary forest,0.1134
NDP,2050,Palm primary forest,0.1134
NDP,2015,Moist secondary forest,0.56
NDP,2016,Moist secondary forest,0.5662
NDP,2017,Moist secondary forest,0.5706
NDP,2018,Moist secondary forest,0.5748
NDP,2019,Moist secondary forest,0.5789
NDP,2020,Moist secondary forest,0.5829
NDP,2021,Moist secondary forest,0.5868
NDP,2022,Moist secondary forest,0.5905
NDP,2023,Moist secondary forest,0.5941
NDP,2024,Moist secondary forest,0.5976
NDP,2025,Moist secondary forest,0.6009
NDP,2026,Moist secondary forest,0.6042
NDP,2027,Moist secondary forest,0.6072
NDP,2028,Moist secondary forest,0.6102
NDP,2029,Moist secondary forest,0.613
NDP,2030,Moist secondary forest,0.6157
NDP,2031,Moist secondary forest,0.6183
NDP,2032,Moist secondary forest,0.6207
NDP,2033,Moist secondary forest,0.623
NDP,2034,Moist secondary forest,0.6252
NDP,2035,Moist secondary forest,0.6272
NDP,2036,Moist secondary forest,0.6292
NDP,2037,Moist secondary forest,0.631
NDP,2038,Moist secondary forest,0.6327
NDP,2039,Moist secondary forest,0.6342
NDP,2040,Moist secondary forest,0.6357
NDP,2041,Moist secondary forest,0.637
NDP,2042,Moist secondary forest,0.6383
NDP,2043,Moist secondary forest,0.6394
NDP,2044,Moist secondary forest,0.6405
NDP,2045,Moist secondary forest,0.6414
NDP,2046,Moist secondary forest,0.6423
NDP,2047,Moist secondary forest,0.6431
NDP,2048,Moist secondary forest,0.6438
NDP,2049,Moist secondary forest,0.6445
NDP,2050,Moist secondary forest,0.6451
NDP,2015,Moist primary forest,0.659
NDP,2016,Moist primary forest,0.6554
NDP,2017,Moist primary forest,0.6506
NDP,2018,Moist primary forest,0.6462
NDP,2019,Moist primary forest,0.642
NDP,2020,Moist primary forest,0.6381
NDP,2021,Moist primary forest,0.6345
NDP,2022,Moist primary forest,0.6312
NDP,2023,Moist primary forest,0.6282
NDP,2024,Moist primary forest,0.6254
NDP,2025,Moist primary forest,0.6229
NDP,2026,Moist primary forest,0.6206
NDP,2027,Moist primary forest,0.6186
NDP,2028,Moist primary forest,0.6169
NDP,2029,Moist primary forest,0.6154
NDP,2030,Moist primary forest,0.6142
NDP,2031,Moist primary forest,0.6132
NDP,2032,Moist primary forest,0.6125
NDP,2033,Moist primary forest,0.612
NDP,2034,Moist primary forest,0.6117
NDP,2035,Moist primary forest,0.6117
NDP,2036,Moist primary forest,0.6117
NDP,2037,Moist primary forest,0.6117
NDP,2038,Moist primary forest,0.6117
NDP,2039,Moist primary forest,0.6117
NDP,2040,Moist primary forest,0.6117
NDP,2041,Moist primary forest,0.6117
NDP,2042,Moist primary forest,0.6117
NDP,2043,Moist primary forest,0.6117
NDP,2044,Moist primary forest,0.6117
NDP,2045,Moist primary forest,0.6117
NDP,2046,Moist primary forest,0.6117
NDP,2047,Moist primary forest,0.6117
NDP,2048,Moist primary forest,0.6117
NDP,2049,Moist primary forest,0.6117
NDP,2050,Moist primary forest,0.6117
NDP,2015,Mangroves second. forest,0.012
NDP,2016,Mangroves second. forest,0.0124
NDP,2017,Mangroves second. forest,0.0125
NDP,2018,Mangroves second. forest,0.0125
NDP,2019,Mangroves second. forest,0.0126
NDP,2020,Mangroves second. forest,0.0127
NDP,2021,Mangroves second. forest,0.0128
NDP,2022,Mangroves second. forest,0.0129
NDP,2023,Mangroves second. forest,0.0129
NDP,2024,Mangroves second. forest,0.013
NDP,2025,Mangroves second. forest,0.0131
NDP,2026,Mangroves second. forest,0.0132
NDP,2027,Mangroves second. forest,0.0132
NDP,2028,Mangroves second. forest,0.0133
NDP,2029,Mangroves second. forest,0.0134
NDP,2030,Mangroves second. forest,0.0134
NDP,2031,Mangroves second. forest,0.0135
NDP,2032,Mangroves second. forest,0.0136
NDP,2033,Mangroves second. forest,0.0136
NDP,2034,Mangroves second. forest,0.0137
NDP,2035,Mangroves second. forest,0.0137
NDP,2036,Mangroves second. forest,0.0138
NDP,2037,Mangroves second. forest,0.0138
NDP,2038,Mangroves second. forest,0.0139
NDP,2039,Mangroves second. forest,0.0139
NDP,2040,Mangroves second. forest,0.014
NDP,2041,Mangroves second. forest,0.014
NDP,2042,Mangroves second. forest,0.014
NDP,2043,Mangroves second. forest,0.0141
NDP,2044,Mangroves second. forest,0.0141
NDP,2045,Mangroves second. forest,0.0141
NDP,2046,Mangroves second. forest,0.0142
NDP,2047,Mangroves second. forest,0.0142
NDP,2048,Mangroves second. forest,0.0142
NDP,2049,Mangroves second. forest,0.0142
NDP,2050,Mangroves second. forest,0.0143
NDP,2015,Mangroves primary forest,0.034
NDP,2016,Mangroves primary forest,0.0344
NDP,2017,Mangroves primary forest,0.0343
NDP,2018,Mangroves primary forest,0.0341
NDP,2019,Mangroves primary forest,0.034
NDP,2020,Mangroves primary forest,0.0339
NDP,2021,Mangroves primary forest,0.0338
NDP,2022,Mangroves primary forest,0.0337
