Strategy,Year,Fuel,SpecifiedAnnualDemand
NDP,2019,Industrial demand,0.0803
NDP,2020,Industrial demand,0.087
NDP,2021,Industrial demand,0.0895
NDP,2022,Industrial demand,0.0921
NDP,2023,Industrial demand,0.0948
NDP,2024,Industrial demand,0.0975
NDP,2025,Industrial demand,0.1004
NDP,2026,Industrial demand,0.1033
NDP,2027,Industrial demand,0.1063
NDP,2028,Industrial demand,0.1094
NDP,2029,Industrial demand,0.1125
NDP,2030,Industrial demand,0.1158
NDP,2031,Industrial demand,0.1192
NDP,2032,Industrial demand,0.1226
NDP,2033,Industrial demand,0.1262
NDP,2034,Industrial demand,0.1298
NDP,2035,Industrial demand,0.1336
NDP,2036,Industrial demand,0.1375
NDP,2037,Industrial demand,0.1415
NDP,2038,Industrial demand,0.1456
NDP,2039,Industrial demand,0.1498
NDP,2040,Industrial demand,0.1541
NDP,2041,Industrial demand,0.1586
NDP,2042,Industrial demand,0.1632
NDP,2043,Industrial demand,0.1679
NDP,2044,Industrial demand,0.1728
NDP,2045,Industrial demand,0.1778
NDP,2046,Industrial demand,0.183
NDP,2047,Industrial demand,0.1883
NDP,2048,Industrial demand,0.1937
NDP,2049,Industrial demand,0.1993
NDP,2050,Industrial demand,0.2051
