Strategy,Year,Fuel,SpecifiedAnnualDemand
NDP,2048,Waste water from human consumtion,0.2348
NDP,2049,Waste water from human consumtion,0.2339
NDP,2050,Waste water from human consumtion,0.2331
NDP,2015,"Residential, commercial and turism demand",0.0737
NDP,2016,"Residential, commercial and turism demand",0.0746
NDP,2017,"Residential, commercial and turism demand",0.0754
NDP,2018,"Residential, commercial and turism demand",0.0763
NDP,2019,"Residential, commercial and turism demand",0.0771
NDP,2020,"Residential, commercial and turism demand",0.0779
NDP,2021,"Residential, commercial and turism demand",0.0782
NDP,2022,"Residential, commercial and turism demand",0.0785
NDP,2023,"Residential, commercial and turism demand",0.0787
NDP,2024,"Residential, commercial and turism demand",0.0789
NDP,2025,"Residential, commercial and turism demand",0.0791
NDP,2026,"Residential, commercial and turism demand",0.0793
NDP,2027,"Residential, commercial and turism demand",0.0795
NDP,2028,"Residential, commercial and turism demand",0.0796
NDP,2029,"Residential, commercial and turism demand",0.0797
NDP,2030,"Residential, commercial and turism demand",0.0798
NDP,2031,"Residential, commercial and turism demand",0.0798
NDP,2032,"Residential, commercial and turism demand",0.0799
NDP,2033,"Residential, commercial and turism demand",0.0799
NDP,2034,"Residential, commercial and turism demand",0.0799
NDP,2035,"Residential, commercial and turism demand",0.08
NDP,2036,"Residential, commercial and turism demand",0.0799
NDP,2037,"Residential, commercial and turism demand",0.0799
NDP,2038,"Residential, commercial and turism demand",0.0799
NDP,2039,"Residential, commercial and turism demand",0.0798
NDP,2040,"Residential, commercial and turism demand",0.0797
NDP,2041,"Residential, commercial and turism demand",0.0796
NDP,2042,"Residential, commercial and turism demand",0.0795
NDP,2043,"Residential, commercial and turism demand",0.0793
NDP,2044,"Residential, commercial and turism demand",0.0791
NDP,2045,"Residential, commercial and turism demand",0.079
NDP,2046,"Residential, commercial and turism demand",0.0787
NDP,2047,"Residential, commercial and turism demand",0.0785
NDP,2048,"Residential, commercial and turism demand",0.0783
NDP,2049,"Residential, commercial and turism demand",0.078
NDP,2050,"Residential, commercial and turism demand",0.0777
