Year,Technology,VariableCost
2020,Coffee Imports,2849.9
2021,Coffee Imports,2900.6
2022,Coffee Imports,2952.3
2023,Coffee Imports,3004.8
2024,Coffee Imports,3058.3
2025,Coffee Imports,3112.8
2026,Coffee Imports,3170.2
2027,Coffee Imports,3227.7
2028,Coffee Imports,3285.1
2029,Coffee Imports,3342.6
2030,Coffee Imports,3400
2031,Coffee Imports,3457.4
2032,Coffee Imports,3514.9
2033,Coffee Imports,3572.3
2034,Coffee Imports,3629.8
2035,Coffee Imports,3687.2
2036,Coffee Imports,3744.6
2037,Coffee Imports,3802.1
2038,Coffee Imports,3859.5
2039,Coffee Imports,3917
2040,Coffee Imports,3974.4
2041,Coffee Imports,4031.8
2042,Coffee Imports,4089.3
2043,Coffee Imports,4146.7
2044,Coffee Imports,4204.2
2045,Coffee Imports,4261.6
2046,Coffee Imports,4319
2047,Coffee Imports,4376.5
2048,Coffee Imports,4433.9
2049,Coffee Imports,4491.4
2050,Coffee Imports,4548.8
