Year,Technology,TotalTechnologyAnnualActivityLowerLimit
2015,Coffee imports,0.0065
2016,Coffee imports,0.007
2017,Coffee imports,0.007
2018,Coffee imports,0.007
2019,Coffee imports,0.007
2020,Coffee imports,0.007
2021,Coffee imports,0.007
2022,Coffee imports,0.007
2023,Coffee imports,0.007
2024,Coffee imports,0.007
2025,Coffee imports,0.007
2026,Coffee imports,0.007
2027,Coffee imports,0.007
2028,Coffee imports,0.007
2029,Coffee imports,0.007
2030,Coffee imports,0.008
2031,Coffee imports,0.008
2032,Coffee imports,0.008
2033,Coffee imports,0.008
2034,Coffee imports,0.008
2035,Coffee imports,0.008
2036,Coffee imports,0.008
2037,Coffee imports,0.008
2038,Coffee imports,0.008
2039,Coffee imports,0.008
2040,Coffee imports,0.008
2041,Coffee imports,0.008
2042,Coffee imports,0.009
2043,Coffee imports,0.009
2044,Coffee imports,0.009
2045,Coffee imports,0.009
2046,Coffee imports,0.009
2047,Coffee imports,0.009
2048,Coffee imports,0.009
2049,Coffee imports,0.009
2050,Coffee imports,0.009
,Oil palm imports,
2015,Oil palm imports,0.01
2016,Oil palm imports,0.01
2017,Oil palm imports,0.01
2018,Oil palm imports,0.01
2019,Oil palm imports,0.01
2020,Oil palm imports,0.01
2021,Oil palm imports,0.01
2022,Oil palm imports,0.01
2023,Oil palm imports,0.01
2024,Oil palm imports,0.01
2025,Oil palm imports,0.01
2026,Oil palm imports,0.01
2027,Oil palm imports,0.01
2028,Oil palm imports,0.01
2029,Oil palm imports,0.01
2030,Oil palm imports,0.01
2031,Oil palm imports,0.01
2032,Oil palm imports,0.01
2033,Oil palm imports,0.01
2034,Oil palm imports,0.01
2035,Oil palm imports,0.01
2036,Oil palm imports,0.01
2037,Oil palm imports,0.01
2038,Oil palm imports,0.01
2039,Oil palm imports,0.01
2040,Oil palm imports,0.01
2041,Oil palm imports,0.01
2042,Oil palm imports,0.01
2043,Oil palm imports,0.01
2044,Oil palm imports,0.01
2045,Oil palm imports,0.01
2046,Oil palm imports,0.01
2047,Oil palm imports,0.01
2048,Oil palm imports,0.01
2049,Oil palm imports,0.01
2050,Oil palm imports,0.01
,Molasses imports,
2015,Molasses imports,0.013
2016,Molasses imports,0.013
2017,Molasses imports,0.013
2018,Molasses imports,0.013
2019,Molasses imports,0.013
2020,Molasses imports,0.013
2021,Molasses imports,0.013
2022,Molasses imports,0.013
2023,Molasses imports,0.013
2024,Molasses imports,0.013
2025,Molasses imports,0.013
2026,Molasses imports,0.013
2027,Molasses imports,0.013
2028,Molasses imports,0.013
2029,Molasses imports,0.013
2030,Molasses imports,0.013
2031,Molasses imports,0.013
2032,Molasses imports,0.013
2033,Molasses imports,0.013
2034,Molasses imports,0.013
2035,Molasses imports,0.013
2036,Molasses imports,0.013
2037,Molasses imports,0.013
2038,Molasses imports,0.013
2039,Molasses imports,0.013
2040,Molasses imports,0.013
2041,Molasses imports,0.013
2042,Molasses imports,0.013
2043,Molasses imports,0.013
2044,Molasses imports,0.013
2045,Molasses imports,0.013
2046,Molasses imports,0.013
2047,Molasses imports,0.013
2048,Molasses imports,0.013
2049,Molasses imports,0.013
2050,Molasses imports,0.013
,Pineapple imports,
2015,Pineapple imports,0.016
2016,Pineapple imports,0.016
2017,Pineapple imports,0.016
2018,Pineapple imports,0.016
2019,Pineapple imports,0.016
2020,Pineapple imports,0.016
2021,Pineapple imports,0.016
2022,Pineapple imports,0.016
2023,Pineapple imports,0.016
2024,Pineapple imports,0.016
2025,Pineapple imports,0.016
2026,Pineapple imports,0.016
2027,Pineapple imports,0.016
2028,Pineapple imports,0.016
2029,Pineapple imports,0.016
2030,Pineapple imports,0.016
2031,Pineapple imports,0.016
2032,Pineapple imports,0.016
2033,Pineapple imports,0.016
2034,Pineapple imports,0.016
2035,Pineapple imports,0.016
2036,Pineapple imports,0.016
2037,Pineapple imports,0.016
2038,Pineapple imports,0.016
2039,Pineapple imports,0.016
2040,Pineapple imports,0.016
2041,Pineapple imports,0.016
2042,Pineapple imports,0.016
2043,Pineapple imports,0.016
2044,Pineapple imports,0.016
2045,Pineapple imports,0.016
2046,Pineapple imports,0.016
2047,Pineapple imports,0.016
2048,Pineapple imports,0.016
2049,Pineapple imports,0.016
2050,Pineapple imports,0.016
,Rice imports,
2015,Rice imports,0.16
2016,Rice imports,0.16
2017,Rice imports,0.16
2018,Rice imports,0.16
2019,Rice imports,0.17
2020,Rice imports,0.17
2021,Rice imports,0.17
2022,Rice imports,0.17
2023,Rice imports,0.17
2024,Rice imports,0.17
2025,Rice imports,0.18
2026,Rice imports,0.18
2027,Rice imports,0.18
2028,Rice imports,0.18
2029,Rice imports,0.18
2030,Rice imports,0.19
2031,Rice imports,0.19
2032,Rice imports,0.19
2033,Rice imports,0.19
2034,Rice imports,0.19
2035,Rice imports,0.2
2036,Rice imports,0.2
2037,Rice imports,0.2
2038,Rice imports,0.2
2039,Rice imports,0.2
2040,Rice imports,0.21
2041,Rice imports,0.21
2042,Rice imports,0.21
2043,Rice imports,0.21
2044,Rice imports,0.21
2045,Rice imports,0.22
2046,Rice imports,0.22
2047,Rice imports,0.22
2048,Rice imports,0.22
2049,Rice imports,0.22
2050,Rice imports,0.23
